line_item,period,value,ticker,company_name
Tax Effect Of Unusual Items,2025-12-31,208639121002.54,BBCA.JK,Bank Central Asia
Tax Effect Of Unusual Items,2024-12-31,163770209004.24155,BBCA.JK,Bank Central Asia
Tax Effect Of Unusual Items,2023-12-31,231741227696.78183,BBCA.JK,Bank Central Asia
Tax Effect Of Unusual Items,2022-12-31,8518954908.048587,BBCA.JK,Bank Central Asia
Tax Rate For Calcs,2025-12-31,0.19222,BBCA.JK,Bank Central Asia
Tax Rate For Calcs,2024-12-31,0.19594,BBCA.JK,Bank Central Asia
Tax Rate For Calcs,2023-12-31,0.191454,BBCA.JK,Bank Central Asia
Tax Rate For Calcs,2022-12-31,0.192432,BBCA.JK,Bank Central Asia
Total Unusual Items,2025-12-31,1085417000000.0,BBCA.JK,Bank Central Asia
Total Unusual Items,2024-12-31,835820000000.0,BBCA.JK,Bank Central Asia
Total Unusual Items,2023-12-31,1210427000000.0,BBCA.JK,Bank Central Asia
Total Unusual Items,2022-12-31,44270000000.0,BBCA.JK,Bank Central Asia
Total Unusual Items Excluding Goodwill,2025-12-31,1085417000000.0,BBCA.JK,Bank Central Asia
Total Unusual Items Excluding Goodwill,2024-12-31,835820000000.0,BBCA.JK,Bank Central Asia
Total Unusual Items Excluding Goodwill,2023-12-31,1210427000000.0,BBCA.JK,Bank Central Asia
Total Unusual Items Excluding Goodwill,2022-12-31,44270000000.0,BBCA.JK,Bank Central Asia
Net Income From Continuing Operation Net Minority Interest,2025-12-31,57537287000000.0,BBCA.JK,Bank Central Asia
Net Income From Continuing Operation Net Minority Interest,2024-12-31,54836305000000.0,BBCA.JK,Bank Central Asia
Net Income From Continuing Operation Net Minority Interest,2023-12-31,48639122000000.0,BBCA.JK,Bank Central Asia
Net Income From Continuing Operation Net Minority Interest,2022-12-31,40735722000000.0,BBCA.JK,Bank Central Asia
Reconciled Depreciation,2025-12-31,2602035000000.0,BBCA.JK,Bank Central Asia
Reconciled Depreciation,2024-12-31,2167549000000.0,BBCA.JK,Bank Central Asia
Reconciled Depreciation,2023-12-31,3211483000000.0,BBCA.JK,Bank Central Asia
Reconciled Depreciation,2022-12-31,2662190000000.0,BBCA.JK,Bank Central Asia
Net Interest Income,2025-12-31,87715636000000.0,BBCA.JK,Bank Central Asia
Net Interest Income,2024-12-31,84360786000000.0,BBCA.JK,Bank Central Asia
Net Interest Income,2023-12-31,77050359000000.0,BBCA.JK,Bank Central Asia
Net Interest Income,2022-12-31,65701870000000.0,BBCA.JK,Bank Central Asia
Interest Expense,2025-12-31,10455461000000.0,BBCA.JK,Bank Central Asia
Interest Expense,2024-12-31,9885265000000.0,BBCA.JK,Bank Central Asia
Interest Expense,2023-12-31,9731953000000.0,BBCA.JK,Bank Central Asia
Interest Expense,2022-12-31,6012580000000.0,BBCA.JK,Bank Central Asia
Interest Income,2025-12-31,98171097000000.0,BBCA.JK,Bank Central Asia
Interest Income,2024-12-31,94246051000000.0,BBCA.JK,Bank Central Asia
Interest Income,2023-12-31,86782312000000.0,BBCA.JK,Bank Central Asia
Interest Income,2022-12-31,71714450000000.0,BBCA.JK,Bank Central Asia
Normalized Income,2025-12-31,56660509121002.54,BBCA.JK,Bank Central Asia
Normalized Income,2024-12-31,54164255209004.24,BBCA.JK,Bank Central Asia
Normalized Income,2023-12-31,47660436227696.78,BBCA.JK,Bank Central Asia
Normalized Income,2022-12-31,40699970954908.05,BBCA.JK,Bank Central Asia
Net Income From Continuing And Discontinued Operation,2025-12-31,57537287000000.0,BBCA.JK,Bank Central Asia
Net Income From Continuing And Discontinued Operation,2024-12-31,54836305000000.0,BBCA.JK,Bank Central Asia
Net Income From Continuing And Discontinued Operation,2023-12-31,48639122000000.0,BBCA.JK,Bank Central Asia
Net Income From Continuing And Discontinued Operation,2022-12-31,40735722000000.0,BBCA.JK,Bank Central Asia
Diluted Average Shares,2025-12-31,123244982342.0,BBCA.JK,Bank Central Asia
Diluted Average Shares,2024-12-31,123275050000.0,BBCA.JK,Bank Central Asia
Diluted Average Shares,2023-12-31,123275050000.0,BBCA.JK,Bank Central Asia
Diluted Average Shares,2022-12-31,123275050000.0,BBCA.JK,Bank Central Asia
Basic Average Shares,2025-12-31,123244982342.0,BBCA.JK,Bank Central Asia
Basic Average Shares,2024-12-31,123275050000.0,BBCA.JK,Bank Central Asia
Basic Average Shares,2023-12-31,123275050000.0,BBCA.JK,Bank Central Asia
Basic Average Shares,2022-12-31,123275050000.0,BBCA.JK,Bank Central Asia
Diluted EPS,2025-12-31,467.0,BBCA.JK,Bank Central Asia
Diluted EPS,2024-12-31,445.0,BBCA.JK,Bank Central Asia
Diluted EPS,2023-12-31,395.0,BBCA.JK,Bank Central Asia
Diluted EPS,2022-12-31,330.0,BBCA.JK,Bank Central Asia
Basic EPS,2025-12-31,467.0,BBCA.JK,Bank Central Asia
Basic EPS,2024-12-31,445.0,BBCA.JK,Bank Central Asia
Basic EPS,2023-12-31,395.0,BBCA.JK,Bank Central Asia
Basic EPS,2022-12-31,330.0,BBCA.JK,Bank Central Asia
Diluted NI Availto Com Stockholders,2025-12-31,57537287000000.0,BBCA.JK,Bank Central Asia
Diluted NI Availto Com Stockholders,2024-12-31,54836305000000.0,BBCA.JK,Bank Central Asia
Diluted NI Availto Com Stockholders,2023-12-31,48639122000000.0,BBCA.JK,Bank Central Asia
Diluted NI Availto Com Stockholders,2022-12-31,40735722000000.0,BBCA.JK,Bank Central Asia
